RIN,INCIDENT_DATE,LOCATION_DISTRICT,INCIDENT_REASON,REASON_FOR_FORCE,SUBJECT_GENDER,SUBJECT_RACE,SUBJECT_ROLE,SUBJECT_DESCRIPTION,REASON_FOR_FORCE1,TYPE_OF_FORCE_USED1,TYPE_OF_FORCE_USED2,TYPE_OF_FORCE_USED3,TYPE_OF_FORCE_USED4,NUMBER_EC_CYCLES,SUBJECT_INJURY_TYPE,OFFICER_INJURY_TYPE,OFFICER_YEARS_ON_FORCE,Y_COORDINATE,Y_COORDINATE.1,LOCATION_DISTRICT.1,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_LATITUDE,LOCATION_LONGITUDE,Unnamed: 24
172103,3/8/16,8,2,0,1,2,0,1,8,0,0,0,0,0,0,0,9,3115647,10070017,9,16,,,
172246,3/8/16,8,2,0,1,2,0,1,10,5,0,0,0,1,5,0,5,3115647,10070017,9,16,,,
152713,10/20/14,1,2,0,1,5,2,1,11,0,0,0,0,0,6,0,6,3129179,10123478,0,17,30.411555,-97.69205,
152690,10/20/14,1,2,2,1,5,2,1,11,0,0,0,0,0,6,0,1,3129179,10123478,0,17,30.411555,-97.69205,
157412,3/16/15,8,3,0,2,5,0,0,2,0,0,0,0,0,0,0,8,3115226,10070599,9,18,,,
168183,11/1/15,8,0,5,1,5,0,0,1,0,0,0,0,0,0,1,3,3115491,10070521,9,19,,,
145088,3/21/14,8,3,1,1,4,4,1,1,0,0,0,0,0,0,0,13,3113071,10072892,0,20,30.274242,-97.746495,
167303,10/12/15,8,0,0,1,4,0,0,11,0,0,0,0,0,0,2,3,3115416,10070416,9,21,,,
167443,10/12/15,8,0,0,1,4,0,0,11,0,0,0,0,0,0,0,18,3115416,10070416,9,21,,,
159871,5/4/15,6,2,1,1,2,0,0,11,0,0,0,0,0,0,0,2,3135167,10113340,7,22,,,
175665,9/4/16,1,2,0,1,5,0,0,8,0,0,0,0,0,0,0,1,3097641,10139458,6,23,,,
147565,5/18/14,8,3,0,1,4,2,0,9,0,0,0,0,0,0,0,6,3115155,10070604,0,14,,,
149421,7/10/14,7,1,0,1,4,2,0,12,0,0,0,0,0,4,0,2,3112757,10043660,0,24,,,
149701,7/22/14,10,2,5,1,4,5,3,13,3,0,0,0,1,4,0,1,3120588,10095273,0,25,30.334982,-97.720652,
167922,10/30/15,4,1,0,1,4,0,0,2,0,0,0,0,0,4,2,1,3121519,10066768,3,26,,,
174364,6/10/16,10,2,0,2,2,0,3,14,0,0,0,0,0,0,0,1,3119642,10106515,7,27,,,
152946,10/24/14,8,2,2,1,5,2,0,15,1,0,0,0,1,4,0,2,3116996,10071738,0,28,30.270847,-97.734363,
177018,11/29/16,8,3,0,1,5,0,0,8,0,0,0,0,0,0,0,4,3115951,10070759,9,29,,,
177019,11/29/16,8,3,0,1,5,0,0,8,0,0,0,0,0,0,0,7,3115951,10070759,9,29,,,
156941,2/28/15,4,1,0,1,2,0,2,0,0,0,0,0,0,0,0,3,3132628,10076452,1,30,,,
172646,3/15/16,6,1,0,1,2,0,2,16,0,0,0,0,0,0,0,2,3127578,10106801,4,31,,,
149382,7/10/14,7,1,0,1,4,2,0,17,0,0,0,0,0,1,0,6,3112757,10043660,0,24,,,
145528,3/28/14,6,2,0,2,4,4,0,2,0,0,0,0,0,0,0,15,3138796,10115175,0,32,30.388491,-97.661695,
174295,6/4/16,6,2,5,1,4,0,0,10,0,0,0,0,0,0,0,3,3126880,10099656,4,33,,,
151322,9/3/14,5,2,1,1,5,2,0,9,0,0,0,0,0,6,0,6,3108051,10046007,0,34,,,
155263,1/26/15,6,0,0,1,5,0,2,0,1,0,0,0,1,4,0,2,3134231,10124161,7,35,,,
156106,2/6/15,6,2,0,1,5,0,0,0,0,0,0,0,0,6,0,2,3135611,10127970,7,36,,,
159107,4/20/15,9,2,0,1,4,0,1,11,0,0,0,0,0,6,0,4,3127800,10056392,3,37,,,
167543,10/18/15,5,2,0,1,4,0,0,3,0,0,0,0,0,0,0,3,3095922,10054272,5,38,,,
144369,2/25/14,10,2,0,1,2,4,0,18,1,0,0,0,1,0,0,2,3130044,10084314,0,39,30.304577,-97.691999,
151503,9/6/14,10,3,0,1,2,2,2,0,0,0,0,0,0,6,0,15,3129997,10096983,0,40,30.338618,-97.692566,
163142,7/9/15,4,2,0,1,2,0,0,2,0,0,0,0,0,4,2,5,3137140,10085508,1,13,,,
160188,5/12/15,1,2,0,1,5,0,0,3,4,0,0,0,0,1,0,0,3103545,10132664,6,41,,,
174604,6/26/16,8,2,1,1,5,0,0,8,0,0,0,0,0,0,0,2,3115379,10071145,9,42,,,
170168,1/6/16,8,3,1,1,5,0,0,19,6,0,0,0,2,0,0,2,3115491,10070521,9,43,,,
156646,2/24/15,7,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,3100341,10030899,5,0,,,
165388,8/28/15,8,2,0,1,2,0,2,20,4,0,0,0,0,1,0,11,3115952,10070759,9,29,,,
160581,5/20/15,10,2,3,2,5,0,0,0,0,0,0,0,0,0,1,1,3124784,10087450,4,44,,,
165926,9/5/15,1,2,0,1,5,0,1,11,0,0,0,0,0,0,0,1,3102775,10150979,6,45,30.489755,-97.772168,
171250,2/11/16,8,0,0,1,5,0,3,14,0,0,0,0,0,0,0,22,3115491,10070521,9,43,,,
148200,6/7/14,8,0,5,1,4,2,0,1,4,0,0,0,0,1,0,18,3115491,10070521,0,43,,,
154519,12/26/14,8,2,0,1,4,2,0,21,2,0,0,0,1,0,0,3,3116286,10070603,0,46,30.267363,-97.736643,
152441,10/4/14,8,0,1,2,4,2,0,1,0,0,0,0,0,0,0,8,3115004,10070454,0,47,30.267431,-97.740596,
144068,2/9/14,8,2,1,1,4,2,0,1,0,0,0,0,0,3,0,4,3115043,10070649,0,48,30.267442,-97.740636,
146866,5/8/14,10,0,0,1,4,6,2,17,0,0,0,0,0,0,0,4,3131193,10089537,0,49,30.318499,-97.68814,
157161,2/26/15,10,1,0,1,4,0,0,12,0,0,0,0,0,0,0,2,3125796,10093321,4,50,,,
157572,3/15/15,8,0,5,1,4,0,0,1,0,0,0,0,0,0,1,8,3115491,10070521,9,19,,,
158289,3/15/15,8,0,5,1,4,0,0,1,4,0,0,0,0,1,0,16,3115491,10070521,9,19,,,
158666,4/11/15,8,0,5,1,4,0,0,0,0,0,0,0,0,0,0,2,3115785,10070495,9,51,,,
159342,4/11/15,8,0,5,1,4,0,0,1,0,0,0,0,0,0,0,8,3115785,10070495,9,51,,,
170878,2/1/16,8,0,0,1,4,0,0,8,0,0,0,0,0,0,0,5,3115180,10070609,9,52,,,
170915,2/1/16,8,0,0,1,4,0,0,6,0,0,0,0,0,0,0,3,3115180,10070609,9,52,,,
171909,2/17/16,5,4,0,1,4,0,0,8,0,0,0,0,0,0,0,9,3111727,10055165,3,53,,,
171866,2/26/16,9,2,1,1,4,0,0,14,0,0,0,0,0,2,0,4,3119484,10055306,3,54,,,
172874,3/25/16,8,0,0,1,4,0,0,8,0,0,0,0,0,0,0,3,3115154,10070604,9,11,,,
172896,3/25/16,8,0,0,1,4,0,0,8,0,0,0,0,0,0,0,2,3115154,10070604,9,11,,,
172945,3/25/16,8,0,0,1,4,0,0,8,0,0,0,0,0,0,0,3,3115154,10070604,9,11,,,
174426,6/14/16,7,4,0,1,4,0,2,22,0,0,0,0,0,0,0,8,3103172,10033347,5,55,,,
176696,11/8/16,9,2,0,2,4,0,2,8,0,0,0,0,0,1,0,0,3119618,10057838,3,56,,,
171568,2/17/16,5,4,0,1,4,0,0,8,7,0,0,0,2,2,0,6,3111727,10055165,3,53,,,
171497,2/17/16,5,4,0,1,4,0,0,16,5,0,0,0,2,4,0,15,3111727,10055165,3,53,,,
158655,4/11/15,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3115841,10070419,9,57,,,
158702,4/11/15,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,3115841,10070419,9,57,,,
150741,8/24/14,4,2,0,1,2,2,2,23,3,1,0,0,1,4,2,4,3121798,10067890,0,58,,,
151081,8/29/14,7,1,1,1,2,2,1,1,0,0,0,0,0,0,0,6,3103770,10043205,0,59,30.338275,-97.708502,
146108,4/13/14,4,2,0,1,2,2,0,1,0,0,0,0,0,0,0,4,3128657,10070368,0,60,30.265895,-97.697509,
146700,4/30/14,10,3,0,1,2,2,0,0,2,0,0,0,4,0,3,5,3129997,10096983,0,40,30.338618,-97.692566,
152120,9/21/14,4,2,0,1,2,2,3,11,2,0,0,0,3,0,0,7,3127481,10078218,0,61,30.287932,-97.700727,
157823,3/22/15,8,0,0,1,2,0,2,1,8,0,0,0,0,0,0,17,3115629,10070484,9,62,,,
159786,5/4/15,6,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,3135167,10113340,7,22,,,
161321,5/31/15,10,2,1,1,2,0,3,15,0,0,0,0,0,2,0,3,3133388,10091038,1,63,,,
167506,10/17/15,10,2,1,2,2,0,1,11,0,0,0,0,0,0,1,7,3130514,10087448,1,64,,,
169427,12/11/15,6,2,1,1,2,0,2,1,0,0,0,0,0,0,1,8,3124845,10108482,4,65,,,
172949,3/28/16,4,2,1,1,2,0,3,24,0,0,0,0,0,0,0,14,3136581,10075175,1,66,,,
173464,4/12/16,10,2,0,1,2,0,2,25,0,0,0,0,0,0,0,6,3122413,10093232,4,67,,,
170619,1/26/16,6,2,3,1,2,0,3,8,9,0,0,0,0,4,0,2,3129737,10107910,4,68,,,
174823,7/18/16,9,2,3,1,2,0,1,26,10,0,0,0,1,2,0,11,3119729,10053927,3,69,,,
152025,9/19/14,8,3,0,1,5,3,0,1,4,0,0,0,0,1,0,6,3115491,10070521,0,43,,,
152026,9/19/14,8,3,0,1,5,3,0,1,4,0,0,0,0,1,0,6,3115491,10070521,0,43,,,
152027,9/19/14,8,3,0,1,5,3,0,1,4,0,0,0,0,1,0,6,3115491,10070521,0,43,,,
152540,10/8/14,3,2,0,1,5,2,0,21,0,0,0,0,0,0,0,6,3109831,10070976,0,70,30.267899,-97.758223,
150441,8/12/14,10,0,0,1,5,2,3,0,3,0,0,0,1,4,0,2,3129997,10096983,0,40,30.338618,-97.692566,
145651,3/23/14,8,3,0,2,5,2,1,27,0,0,0,0,0,2,0,12,3115542,10070511,0,71,30.267011,-97.739041,
145959,4/5/14,5,2,0,1,5,2,0,11,0,0,0,0,0,2,0,0,3104749,10050449,0,72,30.212858,-97.774342,
156642,2/20/15,10,2,0,1,5,0,2,9,1,1,0,0,1,4,4,17,3132058,10087522,1,73,,,
159284,4/24/15,8,3,0,1,5,0,0,5,0,0,0,0,0,0,0,2,3115491,10070521,9,19,,,
162565,6/22/15,7,2,0,1,5,0,0,0,1,0,0,0,1,4,0,4,3100711,10036282,2,74,,,
168185,11/7/15,8,3,0,2,5,0,0,5,0,0,0,0,0,0,3,5,3115622,10070268,9,75,,,
177331,12/17/16,1,0,1,1,5,0,1,10,0,0,0,0,0,0,0,8,3119460,10119310,7,76,,,
177360,12/17/16,1,0,1,1,5,0,0,28,0,0,0,0,0,0,0,17,3119460,10119310,7,76,,,
144072,2/22/14,3,2,1,2,5,2,0,21,0,0,0,0,0,0,1,1,3122717,10083811,0,77,,,
152028,9/19/14,8,3,0,3,3,1,0,1,4,0,0,0,0,0,0,6,3115491,10070521,0,43,,,
154720,1/6/15,5,2,0,3,3,0,0,21,9,0,0,0,0,7,1,13,3102347,10062570,5,78,,,
168367,11/8/15,8,0,4,3,3,0,0,5,4,0,0,0,0,0,1,3,3115155,10070604,9,11,,,
169844,12/21/15,3,2,1,3,3,0,0,0,0,0,0,0,0,1,0,4,3107390,10073098,9,79,,,
159261,4/23/15,9,2,0,1,4,0,2,0,0,0,0,0,0,0,0,5,3123698,10058703,3,80,,,
175672,9/9/16,6,2,0,1,4,0,3,29,0,0,0,0,0,1,2,25,3131290,10101667,4,81,,,
175729,9/9/16,6,2,0,1,4,0,3,29,0,0,0,0,0,1,2,13,3131290,10101667,4,81,,,
175748,9/9/16,6,2,0,1,4,0,3,30,0,0,0,0,0,1,0,1,3131290,10101667,4,81,,,
177195,12/12/16,6,2,1,2,4,0,0,8,0,0,0,0,0,0,0,5,3128694,10106147,4,82,,,
158963,4/17/15,1,2,3,1,2,0,0,12,0,0,0,0,0,4,0,2,3122324,10120703,7,83,,,
159105,4/17/15,1,2,0,1,2,0,0,12,1,0,0,0,2,4,0,5,3122324,10120703,7,83,,,
161505,6/6/15,8,0,0,2,2,0,0,1,0,0,0,0,0,4,0,3,3115491,10070521,9,43,,,
145448,2/18/14,5,2,0,2,5,2,0,11,0,0,0,0,0,2,0,5,3107587,10064956,0,84,30.252241,-97.76421,
155221,1/23/15,10,3,0,1,5,0,0,0,0,0,0,0,0,0,0,1,3125779,10091257,4,85,,,
176827,11/13/16,7,2,1,1,5,0,0,8,0,0,0,0,0,0,0,0,3107407,10041839,2,86,,,
160981,5/23/15,8,0,4,3,3,0,2,5,4,0,0,0,0,1,0,7,3115491,10070521,9,43,,,
149383,7/10/14,7,1,1,1,4,2,0,3,0,0,0,0,0,0,0,1,3112757,10043660,0,24,,,
144371,3/4/14,5,2,0,1,4,2,1,2,0,0,0,0,0,2,3,5,3085723,10048179,0,87,30.207908,-97.835185,
174930,7/21/16,6,2,0,1,4,0,0,8,0,0,0,0,0,0,0,5,3135340,10128339,7,12,,,
176215,10/9/16,3,2,3,1,2,0,3,31,0,0,0,0,0,0,3,5,3112163,10084523,10,88,,,
176350,10/9/16,3,2,3,1,2,0,3,31,0,0,0,0,0,0,0,22,3112163,10084523,10,88,,,
172603,3/7/16,8,3,0,1,3,0,0,14,0,0,0,0,0,0,0,6,3115730,10070453,9,89,,,
172648,3/7/16,8,3,0,1,3,0,0,14,0,0,0,0,0,0,0,3,3115730,10070453,9,89,,,
172866,3/7/16,8,3,5,1,3,0,0,14,0,0,0,0,0,0,0,3,3115730,10070453,9,89,,,
156102,2/11/15,8,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,3115491,10070521,9,43,,,
168643,11/23/15,8,3,0,1,5,0,3,0,3,1,0,0,1,0,0,14,3114212,10070908,9,90,,,
168662,11/23/15,8,0,0,1,5,0,3,0,0,0,0,0,0,0,0,10,3114212,10070908,9,90,,,
170199,1/9/16,8,3,1,1,5,0,0,14,0,0,0,0,0,0,0,22,3115155,10070604,9,11,,,
176478,10/25/16,3,2,0,1,5,0,2,25,0,0,0,0,0,6,0,1,3123763,10085648,9,91,,,
176531,10/25/16,3,2,0,1,5,0,0,25,0,0,0,0,0,6,0,2,3123763,10085648,9,91,,,
176646,10/25/16,3,2,1,1,5,0,2,25,0,0,0,0,0,6,0,2,3123763,10085648,9,91,,,
176593,10/30/16,4,2,3,1,5,0,0,14,0,0,0,0,0,1,0,1,3156637,10097784,0,92,,,
144374,3/4/14,5,2,0,1,4,2,1,2,0,0,0,0,0,2,0,1,3085723,10048179,0,87,30.207908,-97.835185,
144389,3/4/14,5,2,0,1,4,2,1,2,1,1,0,0,3,2,0,1,3085723,10048179,0,87,30.207908,-97.835185,
161101,5/25/15,10,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3126378,10097710,4,93,,,
161542,6/7/15,8,3,0,1,2,0,0,2,2,2,0,0,3,4,0,8,3115292,10070580,9,94,,,
174928,7/18/16,9,2,3,1,2,0,1,26,0,0,0,0,0,2,0,5,3119729,10053927,3,69,,,
174986,7/18/16,9,2,3,1,2,0,1,26,0,0,0,0,0,2,0,8,3119729,10053927,3,69,,,
149222,7/5/14,8,3,0,1,5,2,0,5,1,0,0,0,1,0,0,7,3115155,10070604,0,14,,,
150642,8/20/14,6,3,0,2,5,2,0,0,0,0,0,0,0,4,0,8,3134231,10124161,0,35,,,
166956,10/3/15,8,0,5,3,3,0,0,1,4,0,0,0,0,0,0,3,3115687,10070155,9,95,,,
166957,10/3/15,8,0,5,3,3,0,0,1,4,0,0,0,0,0,0,3,3115687,10070155,9,95,,,
148245,6/8/14,6,0,0,1,4,2,2,0,1,0,0,0,1,0,0,5,3134231,10124161,0,35,,,
149779,7/23/14,7,2,1,1,4,2,1,0,0,0,0,0,0,4,0,12,3096930,10037769,0,96,30.178379,-97.800313,
144828,3/15/14,8,0,0,2,4,2,0,15,0,0,0,0,0,4,0,4,3115403,10070458,0,6,30.267299,-97.739255,
171057,2/6/16,6,2,0,1,4,0,2,6,11,0,0,0,1,4,0,4,3130704,10104509,4,97,,,
141988,1/1/14,1,2,0,1,1,7,0,5,1,0,0,0,1,0,0,1,3119160,10119859,0,98,30.402336,-97.724238,
161561,6/6/15,8,3,2,2,2,0,0,32,2,1,0,0,1,4,2,7,3115491,10070521,9,43,,,
161562,6/6/15,8,0,0,2,2,0,0,1,0,0,0,0,0,4,2,5,3115491,10070521,9,43,,,
163182,7/9/15,10,2,3,1,2,0,3,0,0,0,0,0,0,0,0,12,3128212,10089771,1,99,,,
145828,4/4/14,8,2,0,1,5,2,0,2,0,0,0,0,0,0,5,2,3115630,10071097,0,100,,,
154102,12/13/14,8,2,0,1,5,2,0,11,0,0,0,0,0,0,0,2,3112558,10071578,0,101,30.270393,-97.748149,
160801,5/22/15,1,2,2,2,5,0,3,15,0,0,0,0,0,0,0,13,3124636,10124176,7,102,,,
144817,3/17/14,8,0,2,1,4,4,0,5,4,0,0,0,0,1,0,12,3115566,10070504,0,103,30.266989,-97.738964,
149274,7/4/14,10,2,1,1,4,2,3,0,0,0,0,0,0,4,0,2,3130926,10087173,0,104,30.31251,-97.688648,
144893,3/17/14,8,0,0,1,4,8,0,0,4,0,0,0,0,1,0,9,3115566,10070504,0,103,30.266989,-97.738964,
144818,3/17/14,8,0,0,1,4,2,0,0,0,0,0,0,0,0,0,12,3115566,10070504,0,103,30.266989,-97.738964,
161384,6/5/15,7,2,0,1,4,0,0,5,0,0,0,0,0,0,0,3,3095818,10042304,5,105,,,
170907,1/31/16,3,2,1,2,4,0,0,8,0,0,0,0,0,0,0,12,3121189,10087242,9,106,,,
175077,8/7/16,8,0,0,1,4,0,0,10,0,0,0,0,0,0,0,2,3115265,10070399,9,8,,,
176359,10/15/16,8,3,1,1,4,0,0,14,0,0,0,0,0,0,1,22,3115836,10070204,9,107,,,
144831,3/17/14,8,0,0,1,2,3,0,0,0,0,0,0,0,0,0,7,3115566,10070504,0,103,30.266989,-97.738964,
144891,3/17/14,8,0,5,1,2,3,0,1,4,0,0,0,0,1,0,4,3115566,10070504,0,103,30.266989,-97.738964,
144832,3/17/14,8,0,5,1,2,3,0,1,0,0,0,0,0,2,0,7,3115566,10070504,0,103,30.266989,-97.738964,
144890,3/17/14,8,0,5,1,2,3,0,1,4,1,0,0,0,1,0,4,3115566,10070504,0,103,30.266989,-97.738964,
144892,3/17/14,8,0,0,1,2,3,0,2,4,1,0,0,0,1,0,9,3115566,10070504,0,103,30.266989,-97.738964,
163962,7/25/15,8,0,5,1,2,0,0,1,4,0,0,0,0,1,1,5,3115535,10070296,9,1,,,
171990,3/1/16,9,2,1,1,2,0,0,8,0,0,0,0,0,1,0,4,3121531,10055852,3,108,,,
151457,9/7/14,8,0,5,1,3,3,0,1,4,0,0,0,0,1,0,4,3112129,10071521,0,109,30.270012,-97.749764,
144269,3/1/14,8,0,0,1,5,2,0,0,0,0,0,0,0,0,0,12,3115491,10070521,0,43,,,
144292,3/1/14,8,0,0,1,5,2,0,9,0,0,0,0,0,4,0,11,3115491,10070521,0,43,,,
153164,11/2/14,1,2,3,2,5,4,0,21,0,0,0,0,0,1,0,6,3100785,10133410,0,110,,,
146043,4/10/14,5,2,0,1,5,2,0,11,0,0,0,0,0,0,0,0,3110411,10065360,0,111,30.253201,-97.755506,
144897,3/15/14,8,0,5,2,5,7,0,1,0,0,0,0,0,4,0,16,3115403,10070458,0,6,30.267299,-97.739255,
167462,10/15/15,10,2,0,3,3,0,2,20,3,0,0,0,1,0,0,5,3134101,10084787,1,112,,,
150181,7/22/14,10,2,0,1,4,2,0,0,0,0,0,0,0,0,0,2,3119388,10108531,0,113,30.371749,-97.723991,
160804,5/23/15,8,0,5,1,4,0,0,1,0,0,0,0,0,0,0,2,3115491,10070521,9,43,,,
161302,6/4/15,6,2,3,1,4,0,2,2,1,0,0,0,1,4,0,0,3121438,10109116,4,114,,,
161322,6/4/15,6,2,3,1,4,0,2,2,0,0,0,0,0,6,0,2,3121438,10109116,4,114,,,
164903,8/17/15,8,2,1,1,4,0,0,3,0,0,0,0,0,0,0,8,3115140,10070195,9,115,,,
164921,8/17/15,8,2,1,1,4,0,0,0,0,0,0,0,0,0,0,3,3115140,10070195,9,115,,,
168214,11/8/15,10,2,0,1,4,0,1,0,8,0,0,0,0,2,0,6,3121245,10104948,7,116,,,
172001,3/7/16,7,2,0,1,4,0,1,8,0,0,0,0,0,0,0,2,3087616,10026989,5,117,,,
174332,6/12/16,8,0,0,1,4,0,0,33,0,0,0,0,0,1,3,12,3115491,10070521,9,43,,,
142319,1/10/14,8,0,0,1,2,3,2,0,0,0,0,0,0,0,2,3,3115841,10070419,0,118,30.266739,-97.738086,
174268,5/21/16,8,0,0,1,2,0,0,10,0,0,0,0,0,0,0,3,3115154,10070604,9,11,,,
170021,1/1/16,8,0,5,1,2,0,0,10,4,0,0,0,1,0,0,3,3115292,10070580,9,94,,,
170077,1/1/16,8,0,5,1,2,0,0,10,4,0,0,0,1,1,0,3,3115292,10070580,9,94,,,
174085,5/21/16,8,0,0,1,2,0,0,10,4,0,0,0,0,0,0,2,3115154,10070604,9,11,,,
174152,5/21/16,8,0,0,1,2,0,0,10,4,0,0,0,0,0,0,3,3115154,10070604,9,11,,,
174567,5/21/16,8,0,0,1,2,0,0,10,4,0,0,0,0,0,0,2,3115154,10070604,9,11,,,
145214,3/22/14,9,2,0,1,5,2,0,12,0,0,0,0,0,6,0,2,3121315,10059905,0,119,30.237305,-97.720497,
145215,3/22/14,9,2,0,1,5,2,0,11,0,0,0,0,0,0,0,2,3121315,10059905,0,119,30.237305,-97.720497,
169690,12/13/15,8,3,1,1,5,0,1,1,0,0,0,0,0,0,0,3,3115886,10070835,9,120,,,
176051,9/23/16,1,2,0,2,5,0,2,8,0,0,0,0,0,0,0,6,3119413,10112845,7,121,,,
176596,11/1/16,8,0,0,1,5,0,0,8,0,0,0,0,0,0,0,2,3115265,10070399,9,8,,,
160982,5/23/15,8,0,4,3,3,0,2,5,4,0,0,0,0,1,0,7,3115491,10070521,9,43,,,
170022,1/1/16,8,0,5,3,3,0,0,10,4,0,0,0,1,0,0,3,3115292,10070580,9,94,,,
174568,5/21/16,8,0,0,3,3,0,0,10,4,0,0,0,0,0,0,2,3115154,10070604,9,11,,,
176031,9/1/16,1,2,0,2,1,0,2,8,0,0,0,0,0,0,0,0,3132320,10129093,7,122,,,
149070,6/28/14,4,1,0,1,2,6,2,5,1,0,0,0,1,2,0,2,3144169,10078468,0,123,,,
149278,6/28/14,4,1,0,1,2,6,2,5,0,0,0,0,0,2,0,2,3144169,10078468,0,123,,,
153748,11/29/14,8,2,0,1,5,2,0,1,4,1,0,0,0,0,0,5,-,-,0,124,30.263561,-97.743489,
153924,11/29/14,8,2,0,1,5,2,0,1,0,0,0,0,0,0,0,2,-,-,0,124,30.263561,-97.743489,
153942,11/29/14,8,2,1,1,5,2,0,9,0,0,0,0,0,0,0,10,-,-,0,124,30.263561,-97.743489,
143035,2/1/14,8,2,5,1,5,2,0,1,0,0,0,0,0,0,0,5,3113533,10071562,0,125,30.270196,-97.744672,
151859,9/14/14,8,0,0,1,5,2,0,0,0,0,0,0,0,4,0,4,3113307,10069268,0,126,30.263775,-97.745943,
161481,6/6/15,8,0,0,1,5,0,0,0,0,0,0,0,0,4,0,17,3115522,10070515,9,127,,,
175686,9/4/16,1,2,0,1,5,0,0,8,0,0,0,0,0,0,0,1,3097641,10139458,6,23,,,
176134,10/5/16,8,3,0,1,5,0,0,8,0,0,0,0,0,0,0,3,3115555,10070291,9,128,,,
176194,10/5/16,8,3,0,1,5,0,0,8,0,0,0,0,0,6,0,3,3115555,10070291,9,128,,,
149501,7/15/14,10,2,0,1,4,6,2,0,0,0,0,0,0,0,0,7,3128893,10090071,0,129,30.320428,-97.696142,
166262,9/12/15,10,2,2,1,4,0,3,2,2,2,0,0,3,2,0,12,3131157,10089625,1,130,,,
153899,11/30/14,4,2,3,2,2,5,3,9,0,0,0,0,0,4,0,1,3145588,10082235,0,131,30.297303,-97.642805,
153900,11/30/14,4,2,3,2,2,5,3,9,0,0,0,0,0,2,0,2,3145588,10082235,0,131,30.297303,-97.642805,
170908,1/31/16,8,2,1,1,2,0,0,8,0,0,0,0,0,0,0,2,3115565,10070504,9,103,,,
170913,1/31/16,8,0,0,1,2,0,0,8,0,0,0,0,0,1,3,6,3115565,10070504,9,103,,,
170964,1/31/16,8,0,0,1,2,0,0,8,0,0,0,0,0,1,0,3,3115565,10070504,9,103,,,
170965,1/31/16,8,3,0,1,2,0,0,8,6,0,0,0,2,1,0,3,3115565,10070504,9,103,,,
168372,11/15/15,8,2,2,2,5,0,0,1,0,0,0,0,0,4,2,10,3114423,10070369,9,132,30.495638,-97.9201,
